Gene	sgRNA	ATRT_common|beta	ATRT_common|z	ATRT_common|p-value	ATRT_common|fdr	ATRT_common|wald-p-value	ATRT_common|wald-fdr
ZEB2	4	-0.4252	-2.0607	0.030818	0.25687	0.039329	0.46227
NAPA	4	-0.98178	-2.1666	0.00031394	0.0092166	0.030265	0.38665
TRO	4	0.22772	1.1211	0.87824	0.97606	0.26227	0.50205
ATRAID	4	0.31866	1.329	0.82147	0.9629	0.18384	0.47241
ZNF469	4	0.50393	1.7036	0.27831	0.71417	0.088448	0.47241
UBR3	4	0.25476	1.4947	0.96834	0.99501	0.135	0.47241
CARD8	4	0.086164	0.44212	0.4933	0.8602	0.6584	0.7689
AP1S1	4	0.39112	1.0707	0.58298	0.89691	0.28429	0.51562
TJP3	4	0.13227	0.49233	0.60679	0.90276	0.62249	0.74157
CFAP221	4	0.07236	0.20713	0.46259	0.84385	0.83591	0.89586
SIDT2	4	0.24581	1.4056	0.937	0.98983	0.15983	0.47241
RBM48	4	-0.89921	-3.3896	0.00083717	0.020592	0.00070006	0.030477
BRCA2	4	-0.56253	-2.5988	0.012505	0.14424	0.0093547	0.17511
KHDRBS2	4	0.43663	1.7218	0.44454	0.83495	0.085098	0.47241
DSC1	4	0.26074	0.92899	0.9876	0.99857	0.35289	0.55846
ABCC1	4	0.33516	1.3307	0.76816	0.95257	0.18328	0.47241
OR6Q1	4	0.35302	1.0601	0.70615	0.93501	0.28912	0.51849
USP28	4	1.4375	0.92379	5.2323e-05	0.0020243	0.3556	0.56024
YWHAZ	3	-0.071784	-0.42366	0.27213	0.708	0.67182	0.77854
MMP13	4	0.18003	0.85357	0.73838	0.94383	0.39335	0.58385
HMGB3	4	0.64874	0.60937	0.072625	0.40185	0.54228	0.68486
ZNF645	4	0.28687	0.97267	0.93004	0.98844	0.33072	0.54388
EI24	4	-0.61966	-2.1029	0.0086333	0.11194	0.035474	0.4339
ARL6IP1	4	0.37401	0.8009	0.63703	0.91383	0.42319	0.60259
MOB4	4	-0.066751	-0.23078	0.22677	0.66007	0.81749	0.88191
SPINT4	4	0.33366	1.3207	0.77328	0.95381	0.18661	0.47331
CARF	4	-0.35536	-1.4726	0.044946	0.31616	0.14085	0.47241
ANKRD46	4	0.040643	0.25075	0.39405	0.80554	0.80201	0.87076
RAB11FIP2	4	-0.32453	-1.8903	0.052846	0.34398	0.058717	0.47241
DRICH1	4	-0.43396	-2.231	0.029144	0.24734	0.025681	0.34395
SIGLEC5	4	0.27238	0.65451	0.97468	0.99567	0.51278	0.66465
CDKAL1	4	0.33027	1.1657	0.78375	0.95593	0.24375	0.49224
IFIT3	4	-0.082965	-0.53211	0.20704	0.63818	0.59465	0.72218
COG2	4	-0.86868	-2.9146	0.0012034	0.026932	0.0035618	0.090885
FITM1	3	-0.044775	-0.20487	0.30829	0.74151	0.83767	0.89704
FER1L6	4	0.13167	0.86565	0.60486	0.90256	0.38668	0.57976
FIP1L1	4	-1.2909	-3.9259	0	0	8.6388e-05	0.008492
DDX18	4	-0.32342	-0.69003	0.05316	0.34441	0.49017	0.64794
ARHGEF7	4	-0.094292	-0.32909	0.19611	0.62598	0.74208	0.82831
GET4	4	0.1251	0.39177	0.58879	0.89715	0.69523	0.7953
AVL9	3	-0.49608	-2.026	0.03626	0.28091	0.042761	0.47241
U2AF1	4	-1.8635	-5.2283	0	0	1.7105e-07	0.00019454
LYG2	4	0.44374	1.0258	0.42497	0.82217	0.30498	0.5284
ESF1	4	-0.81012	-3.147	0.0018313	0.035861	0.0016494	0.053525
OLFM4	4	0.29296	1.7109	0.90885	0.98342	0.087102	0.47241
KCNIP1	3	0.53597	1.3589	0.28935	0.72477	0.17419	0.47241
HSPB11	4	-0.44168	-2.1378	0.027156	0.23623	0.032533	0.40914
TES	4	-0.00075816	-0.0034511	0.31975	0.7478	0.99725	0.9983
HHIPL2	4	0.56361	1.5628	0.16759	0.58674	0.11811	0.47241
SYT10	4	0.33594	1.6813	0.76523	0.95194	0.092695	0.47241
ZSCAN12	4	0.064906	0.51183	0.44694	0.83682	0.60877	0.73204
NEMF	4	-0.27933	-1.3632	0.069171	0.39265	0.17283	0.47241
LRFN1	4	0.58789	1.5213	0.13431	0.53367	0.12818	0.47241
ZNF124	4	0.23268	1.2136	0.89373	0.97953	0.22488	0.48512
MSTN	4	0.096848	0.61149	0.5168	0.87032	0.54088	0.68404
SUCLG1	4	-0.11467	-0.45098	0.17591	0.60004	0.652	0.76411
GULP1	4	-0.24639	-1.2587	0.082618	0.42718	0.20812	0.48074
UBE3A	4	0.052744	0.1895	0.41927	0.81991	0.8497	0.90425
FREM2	4	-0.017514	-0.072291	0.29515	0.73043	0.94237	0.96432
FAM72C	4	-0.1479	-0.77414	0.14525	0.55189	0.43885	0.61219
RB1	4	0.98575	0.73292	0.0020929	0.040363	0.46361	0.62885
CDK15	4	0.073763	0.57869	0.46547	0.84479	0.5628	0.699
TMEM244	4	-0.13962	-0.80287	0.15231	0.56143	0.42205	0.60195
LZIC	4	0.12672	0.71246	0.59282	0.89835	0.47618	0.63798
NHLRC2	4	-0.85835	-2.2415	0.001465	0.03171	0.024991	0.3373
RWDD4	4	-0.43675	-1.9081	0.028621	0.24507	0.056377	0.47241
SSR4	4	0.42059	0.79377	0.49048	0.85995	0.42733	0.60505
CARD6	4	0.095241	0.35741	0.51329	0.86839	0.72079	0.8134
DDX52	4	-0.70691	-2.4811	0.0044998	0.069299	0.013096	0.22308
TSFM	4	-1.2139	-3.8268	0	0	0.00012983	0.010931
SLC39A9	4	0.1321	0.61324	0.60643	0.90276	0.53972	0.68343
SLC9B1	4	-0.078433	-0.23027	0.21364	0.64662	0.81788	0.88213
TCP11X2	4	-0.29785	-2.0362	0.062212	0.37508	0.041726	0.47241
SCAPER	4	0.044455	0.14996	0.40137	0.80881	0.8808	0.92494
IRGM	4	0.37411	1.7167	0.63656	0.91372	0.086039	0.47241
PTCD3	4	-0.87252	-2.9881	0.0011511	0.02619	0.0028074	0.077705
PSMD14	4	-1.8517	-5.1903	0	0	2.1001e-07	0.00021074
RHOJ	4	0.89167	1.3954	0.00518	0.077525	0.1629	0.47241
CLTB	4	0.2154	1.2722	0.83968	0.96762	0.20329	0.47976
GPR82	4	0.18559	0.70032	0.75303	0.94753	0.48373	0.64295
TMEM167B	4	0.4615	1.8107	0.37924	0.79535	0.070194	0.47241
BANK1	4	0.74621	0.60873	0.026266	0.23091	0.5427	0.68517
SELT	4	0.19594	0.84653	0.7816	0.95548	0.39725	0.58642
RSBN1	4	0.32409	1.3331	0.80347	0.9611	0.18251	0.47241
AGL	4	-0.0021341	-0.015479	0.31734	0.74686	0.98765	0.99321
PTPRA	4	0.30152	1.2965	0.87892	0.97606	0.19481	0.47689
MOB1B	4	0.17747	0.91693	0.73059	0.94205	0.35918	0.5624
GBGT1	4	0.26401	1.2112	0.99785	0.99958	0.22582	0.48512
EVA1C	4	0.2889	1.5528	0.92329	0.98669	0.12046	0.47241
RPS13	4	-2.1391	-5.3156	0	0	1.0629e-07	0.00015681
PTGES3L-AARSD1	4	0.23121	1.4703	0.88913	0.97824	0.14147	0.47241
TEC	4	-0.13361	-0.90836	0.15781	0.57032	0.36369	0.5646
ZNF586	4	-1.0253	-3.6084	0.00015697	0.0051282	0.00030807	0.019116
TMEM2	4	0.11701	0.4221	0.56765	0.88998	0.67295	0.77953
IFRD2	4	0.48411	1.6735	0.32215	0.74973	0.094223	0.47241
SAMD9	4	0.3603	1.6248	0.68135	0.92511	0.1042	0.47241
HTR2B	4	-0.30218	-1.2621	0.060433	0.36819	0.2069	0.48004
TCEA3	4	-0.10619	-0.55636	0.18433	0.61078	0.57796	0.70981
CDC37L1	4	0.29561	1.1271	0.89881	0.98044	0.2597	0.50082
SMC5	4	-1.0737	-3.4373	0.00010465	0.0037037	0.00058758	0.027863
FAM114A1	4	0.49914	1.854	0.28846	0.72368	0.063733	0.47241
MAST4	4	0.57088	1.0666	0.15775	0.57032	0.28613	0.51669
KIFAP3	4	-0.15608	-1.1757	0.13918	0.54295	0.23971	0.4911
GIMAP1-GIMAP5	4	0.34492	1.2059	0.7332	0.9432	0.22784	0.48572
GDF1	4	0.61558	1.2392	0.1025	0.47069	0.21526	0.48302
CBX3	4	-0.27762	-1.2373	0.069799	0.39444	0.21598	0.48302
OR2V2	4	0.30991	1.4897	0.85083	0.9697	0.1363	0.47241
SPINK13	4	0.29633	0.70817	0.89687	0.98044	0.47884	0.64001
RD3L	4	0.53857	0.85801	0.21081	0.64258	0.39088	0.58246
SACS	4	-0.15787	-1.1773	0.13761	0.53993	0.23908	0.4908
VAPA	4	-0.27335	-1.3539	0.071369	0.39813	0.17577	0.47241
NMRK1	4	0.042883	0.34674	0.3987	0.80748	0.72879	0.81914
SLC3A1	4	0.32022	1.6064	0.81687	0.96273	0.10819	0.47241
ZNF91	4	-0.48725	-1.8153	0.020092	0.19365	0.069482	0.47241
GOLT1B	4	-0.01545	-0.079744	0.29756	0.73248	0.93644	0.96079
CCDC174	4	-0.75731	-2.235	0.0031917	0.054905	0.025415	0.34158
CDC14B	4	-0.19528	-1.5493	0.10993	0.48377	0.1213	0.47241
ZNF28	4	-0.80868	-3.3498	0.0018313	0.035861	0.0008087	0.033976
CH25H	4	0.20665	0.93725	0.81242	0.96226	0.34863	0.55556
ZFAT	4	0.24856	1.8921	0.947	0.99038	0.058482	0.47241
PLEKHA3	4	-0.082644	-0.43639	0.20772	0.63929	0.66255	0.77157
EIF4A1	4	-1.1005	-3.2448	5.2323e-05	0.0020243	0.0011754	0.042868
ARPC5	4	0.14691	0.9334	0.64494	0.91644	0.35061	0.55651
POLE2	4	-1.4019	-3.896	0	0	9.7802e-05	0.0091409
MOB1A	4	-0.075193	-0.60984	0.21693	0.65003	0.54197	0.68459
NMNAT3	4	0.43179	1.5194	0.45882	0.84301	0.12865	0.47241
CPO	4	-0.051174	-0.46376	0.24592	0.68284	0.64282	0.75776
SLC22A7	3	-0.089369	-0.72564	0.25136	0.68643	0.46806	0.63155
KNTC1	4	-0.47289	-1.6965	0.02208	0.20758	0.089788	0.47241
MIA2	4	-0.071308	-0.55394	0.22148	0.65355	0.57962	0.71071
AVEN	4	-0.078339	-0.51748	0.21379	0.64662	0.60482	0.72925
ZNF518A	4	-0.25696	-1.4527	0.078432	0.41755	0.1463	0.47241
MLC1	4	0.044298	0.12223	0.40111	0.80881	0.90272	0.93906
DGKI	4	0.15325	0.59618	0.66168	0.91959	0.55106	0.69097
HSPA8	4	-1.3216	-3.202	0	0	0.001365	0.047089
COL25A1	4	0.555	1.2484	0.18203	0.60822	0.2119	0.48173
KRT222	4	0.0072854	0.043879	0.33246	0.75769	0.965	0.97859
SPOCK1	3	0.27494	0.61071	0.99001	0.99873	0.54139	0.68438
PPIE	4	-0.65379	-1.9865	0.006959	0.097151	0.046976	0.47241
FAM151A	4	-0.30952	-1.3854	0.057869	0.35863	0.16592	0.47241
GBP6	4	-0.24377	-1.5303	0.083979	0.43192	0.12595	0.47241
CORO2B	4	0.34878	1.5454	0.7207	0.94072	0.12224	0.47241
TRIM49C	4	-0.42454	-2.3881	0.030871	0.25697	0.016937	0.26125
LOC81691	4	-0.17146	-0.6598	0.12683	0.51893	0.50938	0.66168
AATF	4	-0.60903	-2.0686	0.0091566	0.1162	0.03858	0.45713
MMAA	4	0.21929	1.0004	0.85182	0.9697	0.31713	0.53587
OR2T8	4	0.24573	0.88788	0.93653	0.98983	0.37461	0.57144
OR14I1	4	0.45102	1.6683	0.40592	0.81066	0.095248	0.47241
KLF2	4	0.69448	1.1815	0.04526	0.31743	0.23742	0.49027
PATL2	4	-0.088129	-0.27554	0.20176	0.63048	0.7829	0.85722
ZNF687	4	0.29111	1.2033	0.91613	0.98595	0.22886	0.48654
TMEM171	4	0.58256	1.6419	0.14174	0.54716	0.10062	0.47241
PGBD3	4	-0.047967	-0.42993	0.25021	0.68595	0.66725	0.77532
KHDRBS3	4	0.39288	1.2082	0.57707	0.89412	0.22695	0.48555
PET100	4	-0.41352	-1.7261	0.033173	0.26876	0.084324	0.47241
CYP2C9	4	0.077257	0.33913	0.47311	0.85035	0.73451	0.82292
GJC3	4	0.50044	1.2099	0.28532	0.72133	0.22631	0.48512
CSPG4	4	0.59133	1.2847	0.13055	0.52658	0.1989	0.47797
DBT	4	0.13801	0.73306	0.62181	0.90759	0.46352	0.62885
HOXB4	4	0.75894	1.4788	0.023179	0.21473	0.1392	0.47241
RAD51C	4	-0.96156	-2.7692	0.00047091	0.013216	0.0056201	0.12622
TCEAL7	4	0.0051529	0.022363	0.32937	0.75588	0.98216	0.99017
CSPP1	4	-0.3058	-2.1171	0.059177	0.36332	0.03425	0.42479
C14orf105	4	-0.22975	-1.0569	0.090885	0.44538	0.29055	0.51935
EBF2	4	0.40933	1.2147	0.52512	0.874	0.22448	0.48512
ELK3	4	0.024182	0.18535	0.36213	0.77977	0.85296	0.90653
ZNF879	4	0.11307	0.6982	0.55745	0.88835	0.48505	0.64417
ADAMTS8	4	0.32928	0.84728	0.78652	0.9562	0.39684	0.58615
TNFRSF11A	4	0.10116	0.56711	0.52773	0.87525	0.57064	0.705
EXOC6	4	-0.15091	-0.99604	0.14305	0.54896	0.31923	0.53693
DENND4A	4	0.12259	0.62043	0.58147	0.8966	0.53497	0.67968
MUC3A	4	0.1588	0.81313	0.6768	0.92463	0.41614	0.59822
ATRN	4	0.072992	0.40778	0.4639	0.84439	0.68344	0.78733
FAM177A1	4	0.88047	1.1141	0.0060695	0.088146	0.26522	0.50469
KIF1B	4	0.41296	1.2992	0.5136	0.86839	0.19386	0.47647
SLC24A1	4	0.67498	1.4177	0.055776	0.35251	0.15628	0.47241
FAM159B	4	-0.065035	-0.46388	0.22839	0.66126	0.64273	0.75776
GCN1L1	4	-0.052401	-0.15907	0.24356	0.67961	0.87361	0.92037
ZNF823	4	-0.33868	-1.1116	0.048922	0.32993	0.2663	0.50541
GABPB1	4	-0.63524	-2.0031	0.0077438	0.10393	0.045165	0.47241
SLTM	4	-0.23349	-1.3964	0.089368	0.44341	0.16259	0.47241
CALCOCO2	4	0.19526	0.81218	0.78024	0.95508	0.41669	0.59864
OPTN	4	-0.05449	-0.39465	0.24137	0.6761	0.6931	0.79387
LIPN	4	0.19772	0.89921	0.78647	0.9562	0.36854	0.5675
DEPDC4	4	-0.0046403	-0.026682	0.31431	0.74557	0.97871	0.98828
CEP68	4	0.47605	1.5883	0.34094	0.76623	0.11221	0.47241
GLDC	4	0.29499	1.1543	0.90085	0.98115	0.24839	0.49466
TMPRSS11E	4	0.1707	1.1854	0.71102	0.93724	0.23587	0.49027
ZNF57	4	0.36463	1.3275	0.66686	0.92159	0.18433	0.47241
NIP7	4	-0.36894	-1.4712	0.041597	0.30309	0.14123	0.47241
H2AFB1	4	0.62169	1.0164	0.097321	0.45869	0.30943	0.53106
CCDC82	4	-0.11199	-0.52813	0.17832	0.60318	0.59741	0.72365
IL6ST	4	0.14088	0.60213	0.62856	0.91085	0.54709	0.68831
C16orf70	4	0.26173	1.4498	0.99074	0.99879	0.1471	0.47241
HIST1H2BJ	4	-0.37131	-1.5808	0.041021	0.3005	0.11392	0.47241
AUTS2	4	-0.10757	-0.55733	0.18303	0.61005	0.5773	0.70945
ORM2	4	-0.10338	-0.69043	0.18726	0.61516	0.48992	0.64785
PCDH20	4	0.30381	1.5741	0.87066	0.97361	0.11546	0.47241
IFT43	4	0.50638	1.6149	0.2726	0.70873	0.10633	0.47241
CD3D	4	0.15802	0.67202	0.6745	0.92422	0.50157	0.6563
STARD13	4	0.30989	1.3157	0.85088	0.9697	0.18828	0.47374
KIF2C	4	-0.20114	-0.92099	0.10622	0.47632	0.35706	0.56133
TMED3	4	0.54894	1.1908	0.19213	0.62079	0.23372	0.48923
ASCL1	4	0.50758	1.0267	0.27041	0.70659	0.30458	0.5283
PDE4B	4	0.49407	1.7135	0.30002	0.73327	0.086619	0.47241
TAL2	4	0.67226	1.2414	0.057503	0.3581	0.21444	0.48282
HDGFRP3	4	0.23371	0.61444	0.89755	0.98044	0.53892	0.68279
SLC7A2	4	0.38253	0.67853	0.61019	0.90354	0.49744	0.65354
NDUFA13	4	-0.095834	-0.47391	0.19422	0.62274	0.63556	0.75199
SAFB	4	-0.35984	-1.7913	0.043847	0.31199	0.073253	0.47241
PAPD5	4	0.39729	1.3555	0.56342	0.88857	0.17525	0.47241
SSX2	4	-0.22395	-1.6083	0.093711	0.45161	0.10777	0.47241
WNT2	4	0.36477	1.5841	0.66644	0.92137	0.11316	0.47241
CXXC1	4	0.17251	1.0539	0.71667	0.93983	0.29192	0.52042
ZFP36L1	4	0.19837	0.64336	0.7882	0.95651	0.51999	0.66965
RBM26	4	0.03845	0.16853	0.39044	0.80411	0.86617	0.91551
C8orf87	4	0.54304	1.3878	0.20322	0.6334	0.16521	0.47241
INTS3	4	-0.77507	-2.3649	0.0027731	0.05	0.018033	0.27375
ZBTB40	4	0.41477	1.2477	0.50801	0.8668	0.21214	0.48207
CHCHD6	4	0.38567	1.3619	0.59905	0.90057	0.17323	0.47241
NCBP1	4	-1.1678	-3.7084	0	0	0.00020861	0.015276
REV1	4	0.099732	0.54583	0.52443	0.87392	0.58518	0.71477
OR4F15	4	0.57977	1.0097	0.14567	0.55282	0.31262	0.53295
RANBP17	4	-0.52487	-2.3318	0.015802	0.16722	0.019711	0.29067
HINT3	4	0.17361	0.87356	0.71976	0.94053	0.38236	0.57676
ESYT2	4	0.47598	1.0509	0.34109	0.76631	0.29329	0.52143
ACRC	4	0.15699	0.61319	0.67193	0.92344	0.53975	0.68343
ZMYND12	4	-0.33222	-1.9472	0.050806	0.33599	0.051507	0.47241
CCDC169	4	-0.0053822	-0.026413	0.31347	0.74515	0.97893	0.98839
EXOSC9	4	-0.96343	-1.461	0.00047091	0.013216	0.14401	0.47241
UBE2S	4	-0.61325	-2.2568	0.0088426	0.11358	0.024018	0.33165
GBP5	4	-0.19163	-1.2331	0.11249	0.48975	0.21753	0.48302
APOB	4	0.32006	1.8259	0.81739	0.96273	0.06786	0.47241
TMEM154	4	0.37517	1.2871	0.6328	0.91255	0.19806	0.47797
CGGBP1	4	0.34734	0.91355	0.72572	0.94201	0.36096	0.56339
FNBP1L	4	0.19564	0.77468	0.78103	0.95508	0.43853	0.61194
CYTH3	4	0.050187	0.18952	0.41283	0.81433	0.84968	0.90425
TAB3	4	0.00093256	0.0032367	0.32236	0.74973	0.99742	0.99831
MZT1	4	-0.043289	-0.15637	0.2567	0.69166	0.87574	0.92151
MNDA	4	0.21086	0.99606	0.82503	0.96408	0.31922	0.53693
PWWP2A	4	0.074092	0.33753	0.46625	0.84513	0.73572	0.82383
TDP1	4	0.29751	1.0815	0.89326	0.97952	0.2795	0.51259
ZBED9	4	0.28779	1.0582	0.92649	0.9874	0.28996	0.51904
KRBA2	4	0.40586	1.5163	0.53689	0.87956	0.12945	0.47241
TOR1AIP1	4	1.1069	0.62846	0.00078485	0.020107	0.5297	0.6764
BRE	4	0.17664	0.77817	0.72891	0.94201	0.43647	0.61109
TM4SF18	4	0.042415	0.31397	0.3976	0.80717	0.75354	0.83685
PDLIM5	4	0.31686	1.8478	0.82807	0.96459	0.064629	0.47241
MPZL2	4	0.40821	1.2052	0.52878	0.87574	0.22811	0.48585
SLC47A1	4	0.16036	0.95939	0.68083	0.92494	0.33736	0.54811
PGC	4	0.25312	1.6683	0.96269	0.99501	0.095251	0.47241
RPS19BP1	4	-0.7794	-2.3603	0.0027731	0.05	0.01826	0.27654
GAB1	4	-0.12895	-0.76004	0.16199	0.57815	0.44723	0.61799
IL10	4	0.34293	1.2176	0.73948	0.94453	0.22336	0.48506
CYB5R1	4	0.26324	1.6796	0.99519	0.99921	0.093041	0.47241
NKTR	4	-0.28558	-1.6907	0.067183	0.38968	0.090902	0.47241
CD48	4	0.2964	1.6399	0.89677	0.98044	0.10103	0.47241
DNM3	4	0.31981	1.1679	0.81776	0.96273	0.24285	0.4919
IL2	4	0.0030266	0.01832	0.32571	0.75263	0.98538	0.99198
RPL29	4	-0.65102	-1.8876	0.0070636	0.097403	0.059073	0.47241
NPIPA7	4	0.050628	0.16425	0.41419	0.81545	0.86953	0.91764
UGP2	4	-0.65932	-1.9354	0.006645	0.093935	0.052938	0.47241
COPB2	4	-0.27607	-1.0784	0.070532	0.39659	0.28087	0.5135
ANXA13	4	0.34323	1.8452	0.73838	0.94383	0.065002	0.47241
PANK3	4	-0.46401	-2.1951	0.023336	0.21473	0.028157	0.36858
GPRIN3	4	0.18477	1.0875	0.75042	0.94685	0.27682	0.51102
ZC3H12B	4	0.14532	0.8025	0.64122	0.91537	0.42226	0.60217
EIF4E	4	-0.91662	-3.1891	0.00078485	0.020107	0.0014269	0.048564
GRAMD1C	4	0.048138	0.15887	0.40854	0.81251	0.87377	0.92045
CASR	4	-0.068021	-0.30795	0.2253	0.65861	0.75812	0.83951
CRYBA1	4	-0.012728	-0.083436	0.30238	0.73575	0.9335	0.95889
OSCP1	4	-0.074616	-0.34752	0.21746	0.65003	0.7282	0.81876
ING5	4	0.039079	0.20376	0.39117	0.80413	0.83854	0.89747
DPPA4	4	-0.044895	-0.38673	0.25502	0.69066	0.69896	0.79785
FAM133B	4	-0.19541	-1.207	0.10993	0.48377	0.22743	0.48572
GOLM1	4	0.23292	1.0231	0.89441	0.97995	0.30624	0.52929
FANCM	4	-0.03975	-0.15511	0.26141	0.69678	0.87674	0.92204
ZSCAN26	4	-0.16334	-0.94184	0.13358	0.53272	0.34628	0.554
ZNF492	4	0.062367	0.25514	0.44114	0.83253	0.79861	0.86821
ZNF75A	4	0.22443	0.82411	0.86679	0.97267	0.40988	0.5939
NMUR2	4	0.26623	0.39545	0.99555	0.99921	0.69251	0.79339
FAM25A	4	0.24664	0.87817	0.94014	0.99029	0.37985	0.57537
FAM25G	4	-0.50045	-1.6931	0.018418	0.18468	0.090433	0.47241
AADACL2	4	0.22583	0.73572	0.87181	0.97366	0.4619	0.62785
FIS1	4	0.017236	0.088507	0.35093	0.77314	0.92947	0.95622
FAM76B	4	0.12623	0.70256	0.59177	0.89805	0.48233	0.64207
RBPJ	4	-0.064685	-0.20351	0.22907	0.66273	0.83873	0.89759
AQP6	4	0.35457	0.96333	0.70014	0.93183	0.33538	0.54655
TMEM216	4	0.7029	1.0548	0.041754	0.30342	0.29152	0.52018
38231	4	-0.17852	-0.86778	0.12092	0.50525	0.38551	0.57897
OR5B17	4	0.23851	0.62812	0.91361	0.98516	0.52992	0.67659
RPS27L	4	-0.22147	-0.87172	0.094862	0.45314	0.38336	0.57745
CWF19L2	4	-0.27385	-0.9093	0.071159	0.39778	0.36319	0.56438
STMN1	4	0.021796	0.093312	0.35868	0.77889	0.92566	0.95391
DENR	4	-0.67282	-2.4612	0.0061218	0.088369	0.013847	0.23093
TRIP12	4	-0.12649	-0.5316	0.16435	0.58134	0.595	0.72238
TMC6	4	0.26645	1.4898	0.99477	0.99921	0.13628	0.47241
RHOC	4	0.11095	0.5086	0.5529	0.8862	0.61103	0.73359
CNGA3	4	-0.11291	-0.61987	0.17738	0.6016	0.53535	0.68003
C10orf12	4	0.3342	0.8771	0.77145	0.95363	0.38043	0.57562
GJA10	4	0.35648	1.7057	0.69281	0.92978	0.088056	0.47241
CD207	4	0.57123	1.5746	0.15723	0.56964	0.11534	0.47241
PTBP3	4	-0.08505	-0.1372	0.2049	0.63466	0.89087	0.93157
UGT3A2	4	0.011324	0.061375	0.34047	0.76617	0.95106	0.96999
ZNF800	4	0.27875	0.62898	0.95485	0.9931	0.52936	0.67614
OR2G6	4	0.20556	1.6013	0.8096	0.96219	0.10931	0.47241
LRRFIP1	4	0.094302	0.26987	0.51104	0.86806	0.78726	0.86012
MARK4	4	0.077557	0.30612	0.47358	0.85066	0.75952	0.84065
EGR3	4	0.095333	0.63076	0.5135	0.86839	0.5282	0.67557
ADGRF1	4	0.094983	0.57876	0.51251	0.86839	0.56275	0.699
TGS1	4	-0.46547	-1.9251	0.023284	0.21473	0.054219	0.47241
SURF6	4	-0.65013	-2.1167	0.0071159	0.097983	0.034286	0.42486
C1orf111	4	0.31485	1.2935	0.83497	0.96698	0.19584	0.47741
IGBP1	4	-1.5494	-3.6313	0	0	0.00028201	0.018333
TTK	4	-0.48723	-1.015	0.020092	0.19365	0.3101	0.53134
C1orf141	4	0.60265	0.65998	0.11726	0.49889	0.50926	0.66168
SPAG16	4	0.15739	0.67287	0.67319	0.92349	0.50103	0.65606
SLFN12	4	0.041712	0.32082	0.39656	0.80667	0.74834	0.83284
FUBP3	4	0.66444	1.0925	0.062474	0.37594	0.27459	0.50994
PIK3R5	4	0.30073	1.4684	0.88217	0.97723	0.14201	0.47241
C9orf91	4	0.60407	1.3384	0.11527	0.4945	0.18078	0.47241
GPRASP1	4	0.46195	1.3307	0.37793	0.79409	0.18329	0.47241
ABCC12	4	-0.13622	-1.2113	0.15545	0.56677	0.22577	0.48512
GPD1L	4	0.1442	0.79611	0.63839	0.91448	0.42597	0.60403
ABCA4	4	0.44012	0.82933	0.43512	0.82878	0.40692	0.59211
ZNF319	4	0.62005	1.2299	0.098629	0.46144	0.21874	0.48329
PGA5	4	0.28728	1.0944	0.92837	0.98819	0.27378	0.50994
MTPAP	4	-0.48482	-1.1055	0.020301	0.19507	0.26893	0.50717
WDR73	4	0.017995	0.067805	0.35234	0.77429	0.94594	0.96657
SERPINB8	4	0.094151	0.35205	0.51036	0.86772	0.7248	0.81662
TGOLN2	4	0.5493	1.688	0.19156	0.62068	0.091413	0.47241
RFX8	4	0.092982	0.45725	0.50759	0.8664	0.64749	0.7612
PDLIM1	4	0.20546	1.2272	0.80949	0.96219	0.21974	0.48329
NCS1	4	0.40811	1.7736	0.5292	0.87613	0.076135	0.47241
ZNF609	4	0.1418	0.68222	0.63144	0.91224	0.4951	0.65159
RNF167	4	0.13315	0.65211	0.60857	0.90299	0.51433	0.66575
TBC1D8B	4	-0.30446	-1.8962	0.059648	0.3655	0.057935	0.47241
PPIB	4	0.11725	0.74909	0.56802	0.88998	0.45381	0.62258
CDK18	4	-0.17166	-0.85025	0.12673	0.51884	0.39518	0.58503
PPIL1	4	-0.43573	-1.7019	0.028935	0.24643	0.088766	0.47241
CD3G	4	-0.051599	-0.34903	0.24503	0.68146	0.72707	0.81809
GPRC5D	4	0.50564	1.2334	0.27438	0.71047	0.21741	0.48302
BCOR	4	0.20407	1.0957	0.80504	0.96138	0.2732	0.50974
PFKFB1	4	0.1111	0.76621	0.55337	0.8862	0.44355	0.61572
WDR33	4	-1	-3.3438	0.00020929	0.0065147	0.00082636	0.034333
DNAJC24	4	-0.3399	-1.5372	0.048556	0.32838	0.12424	0.47241
IL7R	4	0.44957	1.302	0.40896	0.81273	0.19293	0.47617
SAT1	4	0.16932	0.40147	0.70657	0.93526	0.68808	0.7902
SHC3	4	0.4524	1.882	0.40257	0.80964	0.059841	0.47241
GAPVD1	4	-0.065529	-0.43652	0.22787	0.66065	0.66246	0.77157
SLC30A9	4	-1.0632	-3.6002	0.00010465	0.0037037	0.00031795	0.019477
NPIPA3	3	-0.25069	-1.0316	0.11699	0.49844	0.30226	0.527
TOMM22	4	-1.3467	-4.1549	0	0	3.2541e-05	0.0044108
NFKBIZ	4	0.40851	1.111	0.52789	0.87525	0.26658	0.50549
C15orf54	4	0.259	1.4161	0.98237	0.99734	0.15675	0.47241
IQCA1	4	-0.085831	-0.74593	0.20427	0.63413	0.45571	0.62375
IMPG2	4	0.12885	0.59602	0.59795	0.90029	0.55116	0.69101
NPC1	4	0.022621	0.1041	0.35972	0.77921	0.91709	0.94794
C8orf59	4	-0.41181	-1.9553	0.033382	0.26931	0.050542	0.47241
